treat,age,edu,black,hisp,married,nodegree,re74,re75,re78,u74,u75
1,30,11,1,0,1,1,0,0,590.78179931640625,1,1
1,17,10,1,0,0,1,0,0,0,1,1
1,37,9,1,0,0,1,0,0,1067.5059814453125,1,1
1,41,4,1,0,1,1,0,0,7284.98583984375,1,1
1,42,14,1,0,1,0,0,0,13167.51953125,1,1
1,22,11,0,0,0,1,0,0,1048.4320068359375,1,1
1,17,8,1,0,0,1,0,0,0,1,1
1,29,8,1,0,0,1,0,0,1923.93798828125,1,1
1,35,10,1,0,0,1,0,0,4666.23583984375,1,1
1,27,11,1,0,0,1,0,0,549.29840087890625,1,1
1,29,4,1,0,0,1,0,0,762.91461181640625,1,1
1,28,9,1,0,0,1,0,0,10694.2900390625,1,1
1,27,11,1,0,0,1,0,0,0,1,1
1,23,7,0,0,0,1,0,0,0,1,1
1,45,5,1,0,1,1,0,0,8546.71484375,1,1
1,29,13,1,0,0,0,0,0,7479.65576171875,1,1
1,27,9,1,0,0,1,0,0,0,1,1
1,46,13,1,0,0,0,0,0,647.20458984375,1,1
1,18,6,1,0,0,1,0,0,0,1,1
1,25,12,1,0,0,0,0,0,11965.8095703125,1,1
1,28,15,1,0,0,0,0,0,9598.541015625,1,1
1,25,11,0,0,0,1,0,0,18783.349609375,1,1
1,22,12,1,0,0,0,0,0,18678.080078125,1,1
1,21,9,1,0,0,1,0,0,0,1,1
1,40,11,1,0,0,1,0,0,23005.599609375,1,1
1,22,11,1,0,0,1,0,0,6456.69677734375,1,1
1,25,12,1,0,0,0,0,0,0,1,1
1,18,12,1,0,0,0,0,0,2321.10693359375,1,1
1,38,12,0,0,0,0,0,0,4941.84912109375,1,1
1,27,13,1,0,0,0,0,0,0,1,1
1,27,8,1,0,0,1,0,0,0,1,1
1,38,11,1,0,0,1,0,0,0,1,1
1,23,8,0,1,0,1,0,0,3881.283935546875,1,1
1,26,11,1,0,0,1,0,0,17230.9609375,1,1
1,21,12,0,0,0,0,0,0,8048.60302734375,1,1
1,25,8,1,0,0,1,0,0,0,1,1
1,31,11,1,0,1,1,0,0,14509.9296875,1,1
1,17,10,1,0,0,1,0,0,0,1,1
1,25,11,1,0,0,1,0,0,0,1,1
1,21,12,1,0,0,0,0,0,9983.7841796875,1,1
1,44,11,1,0,0,1,0,0,0,1,1
1,25,12,0,0,0,0,0,0,5587.5029296875,1,1
1,18,9,1,0,0,1,0,0,4482.84521484375,1,1
1,42,12,1,0,0,0,0,0,2456.153076171875,1,1
1,25,10,1,0,0,1,0,0,0,1,1
1,31,9,0,1,0,1,0,0,26817.599609375,1,1
1,24,10,1,0,0,1,0,0,0,1,1
1,26,10,1,0,0,1,0,0,9265.7880859375,1,1
1,25,11,1,0,0,1,0,0,485.22979736328125,1,1
1,18,11,1,0,0,1,0,0,4814.626953125,1,1
1,19,11,1,0,0,1,0,0,7458.10498046875,1,1
1,43,9,1,0,0,1,0,0,0,1,1
1,27,13,1,0,0,0,0,0,34099.28125,1,1
1,17,9,1,0,0,1,0,0,1953.2679443359375,1,1
1,30,11,1,0,0,1,0,0,0,1,1
1,26,10,1,0,1,1,2027.9990234375,0,0,0,1
1,20,9,1,0,0,1,6083.994140625,0,8881.6650390625,0,1
1,17,9,0,1,0,1,445.17041015625,74.34345245361328,6210.669921875,0,0
1,20,12,1,0,0,0,989.267822265625,165.20770263671875,0,0,0
1,18,11,1,0,0,1,858.2542724609375,214.5635986328125,929.8839111328125,0,0
1,27,12,1,0,1,0,3670.8720703125,334.0492858886719,0,0,0
1,21,12,0,0,0,0,3670.8720703125,334.0494079589844,12558.01953125,0,0
1,27,12,1,0,0,0,2143.4130859375,357.94989013671875,22163.25,0,0
1,20,12,1,0,0,0,0,377.568603515625,1652.636962890625,1,0
1,19,10,1,0,0,1,0,385.27410888671875,8124.71484375,1,0
1,23,12,1,0,0,0,5506.30810546875,501.0740966796875,671.331787109375,0,0
1,29,14,1,0,0,0,0,679.67340087890625,17814.98046875,1,0
1,18,10,1,0,0,1,0,798.90789794921875,9737.154296875,1,0
1,19,9,1,0,0,1,0,798.90789794921875,17685.1796875,1,0
1,27,13,0,0,1,0,9381.56640625,853.72247314453125,0,0,0
1,18,11,0,0,0,1,3678.23095703125,919.55792236328125,4321.705078125,0,0
1,27,9,1,0,1,1,0,934.44537353515625,1773.4229736328125,1,0
1,22,12,1,0,0,0,5605.85205078125,936.17730712890625,0,0,0
1,23,10,1,0,1,1,0,936.4385986328125,11233.259765625,1,0
1,23,12,0,1,0,0,9385.740234375,1117.43896484375,559.44317626953125,0,0
1,20,11,1,0,0,1,3637.498046875,1220.8360595703125,1085.43994140625,0,0
1,17,9,1,0,0,1,1716.509033203125,1253.43896484375,5445.2001953125,0,0
1,28,11,1,0,0,1,0,1284.0789794921875,60307.9296875,1,0
1,26,11,1,0,1,1,0,1392.85302734375,1460.3599853515625,1,0
1,20,11,1,0,0,1,16318.6201171875,1484.9940185546875,6943.341796875,0,0
1,24,11,1,0,1,1,824.38861083984375,1666.113037109375,4032.7080078125,0,0
1,31,9,1,0,0,1,0,1698.6070556640625,10363.26953125,1,0
1,23,8,0,0,1,1,0,1713.1500244140625,4232.30908203125,1,0
1,18,10,1,0,0,1,2143.410888671875,1784.2740478515625,11141.3896484375,0,0
1,29,12,1,0,0,0,10881.9404296875,1817.2840576171875,0,0,0
1,26,11,0,0,0,1,0,2226.26611328125,13385.8603515625,1,0
1,24,9,1,0,0,1,9154.7001953125,2288.675048828125,4849.55908203125,0,0
1,25,12,1,0,0,0,14426.7900390625,2409.27392578125,0,0,0
1,24,10,1,0,0,1,4250.40185546875,2421.947021484375,1660.508056640625,0,0
1,46,8,1,0,0,1,3165.657958984375,2594.722900390625,0,0,0
1,31,12,0,0,0,0,0,2611.218017578125,2484.549072265625,1,0
1,19,11,1,0,0,1,2305.02587890625,2615.27587890625,4146.60302734375,0,0
1,19,8,1,0,0,1,0,2657.056884765625,9970.6806640625,1,0
1,27,11,1,0,0,1,2206.93994140625,2666.27392578125,0,0,0
1,26,11,1,0,1,1,0,2754.64599609375,26372.279296875,1,0
1,20,10,1,0,0,1,5005.73095703125,2777.35498046875,5615.18896484375,0,0
1,28,10,1,0,0,1,0,2836.506103515625,3196.571044921875,1,0
1,24,12,1,0,0,0,13765.75,2842.763916015625,6167.68115234375,0,0
1,19,8,1,0,0,1,2636.35302734375,2937.263916015625,7535.94189453125,0,0
1,23,12,1,0,0,0,6269.3408203125,3039.9599609375,8484.2392578125,0,0
1,42,9,1,0,1,1,0,3058.531005859375,1294.4090576171875,1,0
1,25,13,1,0,0,0,12362.9296875,3090.73193359375,0,0,0
1,18,9,1,0,0,1,0,3287.375,5010.341796875,1,0
1,21,12,1,0,0,0,6473.68310546875,3332.408935546875,9371.037109375,0,0
1,27,10,1,0,0,1,1001.14599609375,3550.074951171875,0,0,0
1,21,8,1,0,0,1,989.267822265625,3695.89697265625,4279.61279296875,0,0
1,22,9,1,0,0,1,2192.876953125,3836.986083984375,3462.56396484375,0,0
1,31,4,1,0,0,1,8517.5888671875,4023.2109375,7382.548828125,0,0
1,24,10,1,0,1,1,11703.2001953125,4078.152099609375,0,0,0
1,29,10,1,0,0,1,0,4398.9501953125,0,1,0
1,29,12,1,0,0,0,9748.38671875,4878.93701171875,10976.509765625,0,0
1,19,10,0,0,0,1,0,5324.10888671875,13829.6201171875,1,0
1,19,11,0,1,1,1,5424.48486328125,5463.80322265625,6788.462890625,0,0
1,31,9,1,0,0,1,10717.0302734375,5517.8408203125,9558.5009765625,0,0
1,22,10,1,0,1,1,1468.3480224609375,5588.6640625,13228.2802734375,0,0
1,21,9,1,0,0,1,6416.47021484375,5749.3310546875,743.6666259765625,0,0
1,17,10,1,0,0,1,1291.468017578125,5793.85205078125,5522.7880859375,0,0
1,26,12,1,0,1,0,8408.76171875,5794.8310546875,1424.9439697265625,0,0
1,20,9,0,1,0,1,12260.7802734375,5875.048828125,1358.6429443359375,0,0
1,19,10,1,0,0,1,4121.94921875,6056.75390625,0,0,0
1,26,10,1,0,0,1,25929.6796875,6788.9580078125,672.8773193359375,0,0
1,28,11,1,0,0,1,1929.029052734375,6871.85595703125,0,0,0
1,22,12,0,1,1,0,492.2304992675781,7055.7021484375,10092.830078125,0,0
1,33,11,1,0,0,1,0,7867.916015625,6281.43310546875,1,0
1,22,12,0,0,0,0,6759.994140625,8455.50390625,12590.7099609375,0,0
1,29,10,0,1,0,1,0,8853.673828125,5112.01416015625,1,0
1,33,12,1,0,1,0,20279.94921875,10941.349609375,15952.599609375,0,0
1,25,14,1,0,1,0,35040.0703125,11536.5703125,36646.94921875,0,0
1,35,9,1,0,1,1,13602.4296875,13830.6396484375,12803.9697265625,0,0
1,35,8,1,0,1,1,13732.0703125,17976.150390625,3786.6279296875,0,0
1,33,11,1,0,1,1,14660.7099609375,25142.240234375,4181.94189453125,0,0
